Sec_Production_Company,budget,Profit,popularity
DreamWorks,91500000.0,185993738.5,20.0454075
DreamWorks Animation,145000000.0,376170825.0,56.747978
DreamWorks SKG,51400000.0,1475436.6,21.175348200000002
Dribble Productions,5800000.0,1200000.0,3.201886
Dune Entertainment,69750000.0,165215139.5,40.2259335
Dune Entertainment III,20000000.0,11327899.0,26.396190999999998
Eddie Murphy Productions,28333333.333333332,216844834.33333334,25.154043666666666
Electric Entertainment,60000000.0,-42200000.0,13.155999
Empyreal Entertainment,10000000.0,-10000000.0,5.0994720000000004
Energy Entertainment,50000000.0,21561644.0,74.64653
Eon Productions,21375000.0,126619387.0,30.798369249999997
Epsilon Motion Pictures,52500000.0,-9586243.5,16.3564505
Estudios Picasso,24000000.0,-678046.0,6.009644000000001
EuropaCorp,25333333.333333332,25899619.333333332,34.13073833333333
Excel Entertainment,780000.0,-780000.0,6.003418
Exchange Peaks Film Capital,0.0,0.0,2.214925
Exponential Films,3730500.0,2563661.0,6.938853999999999
Extreme Productions,40000000.0,-29040525.0,2.911819
FGM Entertainment,55000000.0,-13389116.0,32.657488
Falcon International Productions,35000000.0,-35000000.0,2.864979
Film Workshop,33000000.0,-33000000.0,2.706207
FilmDistrict,30000000.0,17042000.0,46.377628
FilmNation Entertainment,9000000.0,-2891280.0,28.540614
Filmko Pictures,68490000.0,125187158.0,4.7262900000000005
Firm Films,35000000.0,50416905.0,25.903237
First Knight Productions,55000000.0,72600435.0,19.143321
Flower Films,40000000.0,-20677865.0,15.590001
Fortis Films,10000000.0,-8368161.0,3.988432
Fox 2000 Pictures,70000000.0,60293714.0,45.299089
Fox Atomic,20000000.0,-2719674.0,15.66135
France 3 Cinéma,33000000.0,-19000000.0,7.663514999999999
Franchise Pictures,82000000.0,-44665614.5,8.421183
Freestone Pictures,6000000.0,-2716629.0,5.411243
GK Films,200000000.0,331865000.0,81.834855
Gary Sanchez Productions,100000000.0,70432927.0,24.399642
Gaumont,2000000.0,-1609341.0,5.261065
Gerber Pictures,50000000.0,60803676.0,15.982120000000002
Glacier Films,10000000.0,-10000000.0,11.431434
Global Entertainment Productions GmbH & Company Medien KG,85000000.0,117938657.0,20.759809
Golan-Globus,0.0,0.0,5.061107
Goldcrest Pictures,92000000.0,96072649.0,43.192048
Golden Harvest Company Ltd.,0.0,0.0,15.046612
Golden Harvest Pictures,21000000.0,21000000.0,10.207065
Gordon Company,49000000.0,141399525.0,61.934049
Groucho II Film Partnership,63000000.0,400517383.0,104.309993
Guerilla High Productions,4300000.0,-4300000.0,5.643023
HSX Films,2000000.0,-1875506.0,1.8921830000000002
Hanmac Films,8000000.0,-8000000.0,2.60632
Happy Madison Productions,43500000.0,111325051.5,56.78611
Hawthorne Productions,2500000.0,-2500000.0,8.248149
Headmon Entertainment & Productions,17000000.0,-17000000.0,6.526587999999999
Hilton Media Management,0.0,0.0,0.397323
Hollywood Gang Productions,110000000.0,227580051.0,71.51059599999999
Hollywood Pictures,22600000.0,-1470813.8,11.380785999999997
Hyde Park Films,50000000.0,-37235799.0,8.139676
IM Global,30000000.0,10346186.0,31.92695
ITC Entertainment,9000000.0,-7527200.0,6.678173000000001
Ian Page Productions,3000000.0,-1800000.0,1.2791059999999999
Ibex Films,0.0,0.0,0.633004
Ibrus,25000000.0,-25000000.0,8.212017999999999
